;project;releases;commits;merges;developers;size;elapsed_time;round
0;d3/d3;275;4309;688;116;4096;0.5635275840759277;0
0;d3/d3;275;4309;688;116;4096;0.5620055198669434;1
0;d3/d3;275;4309;688;116;4096;0.4739954471588135;2
0;d3/d3;275;4309;688;116;4096;0.416994571685791;3
0;d3/d3;275;4309;688;116;4096;0.4739975929260254;4
0;d3/d3;275;4309;688;116;4096;0.4259977340698242;5
0;d3/d3;275;4309;688;116;4096;0.3959956169128418;6
0;d3/d3;275;4309;688;116;4096;0.4929964542388916;7
0;d3/d3;275;4309;688;116;4096;0.4029965400695801;8
0;d3/d3;275;4309;688;116;4096;0.4089987277984619;9
